DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			CC(=O)OC[CH]1O[CH](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C=C2)[CH](O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O)[CH](O)[CH]1O	
			[H][C](C)(O)[C]([H])(CC)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2([H])CO[C](CN3C=NC=N3)(C2)C2=C(F)C=C(F)C=C2)C=C1	T3D3035
			COC1=CC(C=CC(=O)O[CH]2O[CH](CO[CH]3O[CH](CO)[CH](O)[CH](O)[CH]3O)[CH](O)[CH](O)[CH]2OC(=O)C=CC2=CC=C(O)C(OC)=C2)=CC=C1O	
DB09374			[Na+].CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2	
			[H]OC(=O)C1([H])N(C(=O)C([H])(N([H])[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])(O[H])C1([H])[H]	
			COC1=CC=C(C=C1O)C1CC(=O)C2=C(O1)C=C(O[CH]1O[CH]([CH](O)[CH](O)[CH]1O)C(O)=O)C=C2O[CH]1O[CH]([CH](O)[CH](O)[CH]1O)C(O)=O	
			[H]OC(=O)[C]1([H])O[C]([H])(OC2=NC3=C(O[H])C([H])=C([H])C([H])=C3C([H])=C2[H])[C]([H])(O[H])[C]([H])(O[H])[C]1([H])O[H]	
			COC1=CC=C(C=C1O[CH]1O[CH]([CH](O)[CH](O)[CH]1O)C(O)=O)C1CC(=O)C2=C(O1)C=C(O[CH]1O[CH]([CH](O)[CH](O)[CH]1O)C(O)=O)C=C2O	
			[H]OC(=O)[C]([H])(N([H])C(=O)[C]([H])(N([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C2=C(N1[H])C([H])=C([H])C([H])=C2[H]	
			[H]OC(=O)C([H])=C([H])C(=O)O[C]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
			[H]OC(=O)C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]	
			CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	
			[H]OC([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
			NC(CCC(=O)NC(CSC1=CC(C=CC(=O)OC(C(O)C(O)=O)C(O)=O)=C(SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(O)=C1O)C(=O)NCC(O)=O)C(O)=O	
			[H][C]12CCCN1C(=O)[C]([H])(CC(C)C)N1C(=O)[C](O[C]21O)(N=C(O)[C]1([H])CN(C)[C]2([H])CC3=C(Br)NC4=CC=CC(=C34)C2=C1)C(C)C	T3D3017
